"","comuna","2011","2012","2013","2014","2015","2016","2017","2018","2019","class","prob1","prob2"
"42","Coihaique",0.168466522678186,0.0875232774674116,0.138252756573367,0.2149302707137,0.371287128712871,0.339113680154143,0.550295857988166,0.306878306878307,0.333723653395785,"1",0.969,0.031
"43","Coihueco",0.524492234169654,0.336057201225741,0.129577464788732,0.258037922506183,0.348942598187311,0.192795196797865,0.719604421175102,0.691123653155464,0.645944633317144,"2",0.469,0.531
"44","Coinco",NA,NA,NA,NA,NA,0.813106796116505,0.796420581655481,0.938053097345133,0.809623430962343,"2",0.002,0.998
"45","Colbún",0.195822454308094,NA,0.648535564853556,0.704154002026342,0.50046685340803,0.619683069224354,0.253365003958828,0.585618977020015,0.578030810448761,"2",0.218,0.782
"46","Colina",0.0861466821885914,0.00668896321070234,0.0818212940773708,0.133958270335652,0.265560165975104,0.365212955878602,0.362551740930119,0.722869545350697,0.640942498919153,"1",0.879,0.121
"47","Collipulli",0.375685557586837,0.683530678148547,0.271245634458673,0.165154264972777,0.544364508393285,0.302003081664099,0.751094890510949,0.326766304347826,0.120562130177515,"1",0.882,0.118
"48","Coltauco",0.0907407407407407,0.177133655394525,0.170807453416149,0.101865136298422,0.459459459459459,0.40311004784689,0.112723214285714,0.252049180327869,0.347099311701082,"1",0.992,0.008
"49","Combarbalá",0.378099173553719,0.516699410609037,0.467857142857143,0.467408585055644,0.460949464012251,0.473684210526316,0.453566621803499,0.520833333333333,0.669938650306748,"2",0.266,0.734
"50","Concepción",0.222208997857653,0.343618965702613,0.370440691515939,0.187138863000932,0.313507043550318,0.425513324595893,0.331023409110116,0.248145094806265,0.291215403128761,"1",0.975,0.025
"51","Conchalí",0.00104329681794471,0.0219358797361559,0.0414108239326003,0.113002042205582,0.0396596858638743,0.0379697286012526,0.158923584666159,0.287962037962038,0.354806616092526,"1",0.999,0.001
"52","Concón",0.246449456975773,0.11633281972265,0.0481203007518797,0.16,0.0752182672934856,0.564375,0.686322188449848,0.0167966406718656,0.381762917933131,"1",0.984,0.016
"53","Constitución",0.137609649122807,0.345679012345679,0.199401794616152,0.12,0.219246861924686,0.339001848428836,0.260753711457937,0.22404181184669,0.439016703435235,"1",0.988,0.012
"54","Contulmo",NA,NA,NA,NA,0.227488151658768,0.509009009009009,0.526970954356846,0.362725450901804,0.340659340659341,"1",0.873,0.127
"55","Copiapó",0.112827586206897,0.119372787051088,0.192762364294331,0.203310175725378,0.0835618943134028,0.189594207779087,0.165289256198347,0.269438862266193,0.22990149348586,"1",0.998,0.002
"56","Coquimbo",0.183104820875719,0.310034129692833,0.346356916578669,0.59347463681829,0.443742639974307,0.42904093217807,0.227053615346778,0.409671532846715,0.366109599689079,"1",0.882,0.118
"57","Coronel",0.353352529823118,0.278922040423484,0.282841571133246,0.256155890168291,0.239607201309329,0.314533622559653,0.330286051312297,0.30071773839168,0.374421138654318,"1",0.974,0.026
"58","Corral",NA,NA,NA,NA,NA,NA,NA,0.44949494949495,0.294554455445545,"1",0.897,0.103
"59","Cunco",0.175038051750381,0.0898876404494382,0.143799472295515,0.199257425742574,0.523702031602709,0.232484076433121,0.248490945674044,0.269230769230769,0.310798946444249,"1",0.99,0.01
"60","Curacautín",0.565379825653798,0.329341317365269,0.27536231884058,0.304540420819491,0.313368983957219,0.245039682539683,0.812688821752266,0.276633840644584,0.0365217391304348,"1",0.957,0.043
"61","Curacaví",NA,0.133393017009848,0.312320916905444,0.343099460292984,0.198297872340426,0.42511013215859,0.277235161532682,0.521408839779006,0.349195710455764,"1",0.951,0.049
